Report Number,Offense Number,Related Reports,Date/Time Dispatched,Date/Time Arrived,Incident Type,Incident Code,Force Used,Offense,Crime Class,Offense Flags,Section,Disposition,Domestic Violence,Location Beat,Location Type,Suspect Races,Suspect Juvenile,Suspect Hospitalization,Date/Time Created,Date/Time Last Update
21340196,003,,2021-08-10 09:07:23,2021-08-10 09:13:24,All Other Offenses,90Z,No,HARASSMENT,PM,None of these Apply,HRS 711-1106,Prosecutors / Victim Kokua,No,570,Store - Specialty,Hawaiian,No,No,2021-08-10 09:05:28,2021-08-17 06:34:40
21340750,002,,2021-08-10 16:23:21,2021-08-10 16:23:21,Credit Card/Automated Teller Machine Fraud,26B,No,FUCC,FC,None of these Apply,HRS 708-8100,Open,No,782,Other/Unknown - Non Residence,Unknown,Unknown,No,2021-08-10 16:18:19,2021-09-07 11:17:07
21340743,001,21361044,2021-08-10 16:02:13,2021-08-10 16:04:56,Aggravated Assault,13A,No,ASSAULT 2,FC,None of these Apply,HRS 707-0711,Adult Arrested / Charged,No,172,Park/Playground,Micronesian,No,No,2021-08-10 16:00:12,2021-10-07 16:05:13
21340736,001,,2021-08-10 16:14:55,2021-08-10 16:14:55,Larceny / All Other Larceny,23H,No,THEFT 4,PM,None of these Apply,HRS 708-0833,Adult Complaint Withdrawn,No,852,Residence/Home,Unknown,Unknown,No,2021-08-10 16:09:41,2021-09-01 08:20:20
21340775,001,,2021-08-10 16:20:06,2021-08-10 16:20:06,,,No,TERM. OF INS.,VL,None of these Apply,HRS 431:10C-0114,Citation Issued,No,382,Hwy/Street/Road/Alley/Sidewalk,"Filipino,Hawaiian",No,No,2021-08-10 16:20:06,2021-08-10 19:58:15
21340787,001,,2021-08-10 16:32:40,2021-08-10 16:32:40,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,156,Park/Playground,Hawaiian,No,No,2021-08-10 16:32:40,2021-08-21 10:04:11
21340787,002,,2021-08-10 16:32:40,2021-08-10 16:32:40,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,156,Park/Playground,Hawaiian,No,No,2021-08-10 16:32:40,2021-08-21 10:04:11
21340787,003,,2021-08-10 16:32:40,2021-08-10 16:32:40,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,156,Park/Playground,Hawaiian,No,No,2021-08-10 16:32:40,2021-08-21 10:04:11
21340787,004,,2021-08-10 16:32:40,2021-08-10 16:32:40,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,175,Park/Playground,Hawaiian,No,No,2021-08-10 16:32:40,2021-08-21 10:04:11
21340787,005,,2021-08-10 16:32:40,2021-08-10 16:32:40,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,156,Park/Playground,Hawaiian,No,No,2021-08-10 16:32:40,2021-08-21 10:04:11
21340785,001,21340751,2021-08-10 16:45:29,2021-08-10 16:45:29,Simple Assault,13B,No,OBSTRUC GOVT OPS,MD,None of these Apply,HRS 710-1010,Adult Arrested / Charged,No,455,Drug Store/Dr. Offce/Hosp,"White,Hawaiian",No,No,2021-08-10 16:45:29,2021-08-12 11:22:55
21340786,001,,2021-08-10 16:25:34,2021-08-10 16:30:02,Motor Vehicle Theft,240,No,THEFT 2 - AUTO,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,754,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-10 16:20:09,2021-11-12 10:01:29
21332002,001,,2021-08-04 14:12:05,2021-08-04 14:25:21,Credit Card/Automated Teller Machine Fraud,26B,No,FUCC,MD,None of these Apply,HRS 708-8100,Pending Further Development,No,659,Other/Unknown - Non Residence,Unknown,Unknown,No,2021-08-04 14:02:46,2021-10-12 13:37:16
21340721,001,,2021-08-10 15:53:03,2021-08-10 15:55:42,Simple Assault,13B,No,ABUSE FAMILY,MD,Domestic Relationship,HRS 709-0906,Adult Complaint Declined,Yes - Intimate,876,Residence/Home,Black,No,No,2021-08-10 15:50:28,2021-09-01 13:19:51
21340667,001,,,,Intimidation,13C,No,TERR THREAT 2,MD,None of these Apply,HRS 707-0717,Prosecutors / Victim Kokua,No,872,Residence/Home,Hawaiian,No,No,2021-08-10 15:25:53,2021-08-25 12:52:18
21340735,001,,2021-08-10 16:14:12,2021-08-10 16:14:12,Larceny / All Other Larceny,23H,No,THEFT 2 [PURSE WALLET ETC.],FC,None of these Apply,HRS 708-0831,Adult Complaint Withdrawn,No,266,Beach/Lake/Waterway,Unknown,Unknown,No,2021-08-10 16:11:29,2021-08-16 11:10:39
21340631,001,,2021-08-10 15:03:49,2021-08-10 15:03:49,Larceny / All Other Larceny,23H,No,THEFT 2,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,856,Cyberspace,Unknown,Unknown,No,2021-08-10 14:18:38,2021-10-11 11:42:27
21340842,001,,2021-08-10 17:41:11,2021-08-10 17:41:11,Larceny / All Other Larceny,23H,No,THEFT 2,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,169,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-10 17:38:53,2021-08-26 08:15:05
21340841,001,,2021-08-10 17:30:03,2021-08-10 17:33:24,Larceny / All Other Larceny,23H,No,THEFT 4,PM,None of these Apply,HRS 708-0833,Adult Complaint Withdrawn,No,174,Store - Convenience,Unknown,Unknown,No,2021-08-10 17:26:34,2021-09-01 08:15:50
21340839,001,21340924,2021-08-10 17:29:50,2021-08-10 17:32:55,All Other Offenses,90Z,No,HARASSMENT,PM,None of these Apply,HRS 711-1106,Adult Arrested / Charged,No,656,Restaurant,"Filipino,Hawaiian",No,No,2021-08-10 17:28:24,2021-08-19 11:41:19
21340229,001,,2021-08-10 09:18:29,2021-08-10 09:22:12,Motor Vehicle Theft,240,No,THEFT 2 - AUTO,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,371,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-10 09:10:28,2021-08-24 07:18:12
21340847,001,,2021-08-10 17:20:08,2021-08-10 17:28:30,Destruction/Damage/Vandalism of Property,290,No,BURGLARY 1,FB,None of these Apply,HRS 708-0810,Pending Further Development,No,752,Residence/Home,Unknown,Unknown,No,2021-08-10 17:18:30,2021-08-13 08:45:18
21340897,001,,2021-08-10 18:22:14,2021-08-10 18:22:14,Larceny / Theft of Motor Vehicle Parts or Accessories,23G,No,THEFT 4 - CATALYTIC CONVERTER,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,662,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-10 18:18:39,2021-08-27 10:25:03
21340907,001,,2021-08-10 18:32:07,2021-08-10 18:32:07,Larceny / Theft of Motor Vehicle Parts or Accessories,23G,No,THEFT 4 - CATALYTIC CONVERTER,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,179,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-10 18:27:35,2021-08-27 08:08:14
21340650,001,,2021-08-10 15:04:24,2021-08-10 15:07:59,Motor Vehicle Theft,240,No,THEFT 2 - AUTO,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,567,Commercial/Office Building,Unknown,Unknown,No,2021-08-10 14:57:34,2021-10-08 10:38:33
21322872,002,,2021-07-29 10:05:40,,Larceny / All Other Larceny,23H,No,THEFT 2,FC,None of these Apply,HRS 708-0831,Adult Arrested / Charged,No,151,Hwy/Street/Road/Alley/Sidewalk,Filipino,No,No,2021-07-29 10:01:52,2021-10-04 13:32:49
21322872,003,,2021-07-29 10:05:40,,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,167,Hwy/Street/Road/Alley/Sidewalk,Filipino,No,No,2021-07-29 10:01:52,2021-10-04 13:32:49
21334589,001,,2021-08-06 11:23:54,2021-08-06 11:28:20,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Adult Complaint Withdrawn,No,559,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-06 11:20:27,2021-10-01 15:01:16
21339308,001,,2021-08-09 15:39:58,2021-08-09 15:43:14,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Juvi Complaint Withdrawn,No,382,Hwy/Street/Road/Alley/Sidewalk,"Filipino,Other Pac. Islander",Unknown,No,2021-08-09 15:22:52,2021-09-29 09:04:51
21340958,001,,2021-08-10 19:30:55,2021-08-10 19:30:55,Larceny / All Other Larceny,23H,No,THEFT 4,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,765,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-10 19:24:34,2021-10-26 14:43:30
21340893,001,,2021-08-10 17:58:23,2021-08-10 18:02:52,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Pending Further Development,No,180,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-10 17:54:10,2021-09-13 17:32:29
21026001,006,,,,All Other Offenses,90Z,No,PROTECTIVE ORDER VIO,MD,Domestic Relationship,HRS 586-0011,Adult Arrested / Charged,Yes - Intimate,160,Residence/Home,"White,Japanese",No,No,2021-01-18 14:06:40,2021-08-16 09:10:39
21341004,001,,2021-08-10 20:03:01,2021-08-10 20:03:24,Simple Assault,13B,No,HARASSMENT,PM,None of these Apply,HRS 711-1106,Adult Arrested / Charged,No,661,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-10 20:00:04,2021-10-14 12:58:41
21341012,001,,,,Larceny / All Other Larceny,23H,No,THEFT 3,MD,Domestic Relationship,HRS 708-0832,Adult Complaint Withdrawn,Yes - Intimate,858,Residence/Home,Hawaiian,No,No,2021-08-10 20:15:58,2021-08-13 18:11:57
21341004,002,,2021-08-10 20:03:01,2021-08-10 20:03:24,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,156,Government/Public Bldgs,White,No,No,2021-08-10 20:00:04,2021-10-14 12:58:41
21341017,001,,2021-08-10 20:10:17,2021-08-10 20:10:23,Intimidation,13C,No,TERR THREAT 2,MD,None of these Apply,HRS 707-0717,Adult Complaint Withdrawn,No,380,Drug Store/Dr. Offce/Hosp,Unknown,Yes,No,2021-08-10 20:06:59,2021-08-11 02:04:12
21341037,001,,2021-08-10 20:33:20,2021-08-10 20:34:38,Motor Vehicle Theft,240,No,THEFT 3 - MOPED,MD,None of these Apply,HRS 708-0832,Open,No,571,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-10 20:27:20,2021-08-31 21:59:11
21341045,001,21341046,2021-08-10 20:29:36,2021-08-10 20:31:44,Simple Assault,13B,No,ABUSE FAMILY,MD,Domestic Relationship,HRS 709-0906,Adult Arrested / Charged,Yes - Intimate,653,Hotel/Motel/Etc,White,No,No,2021-08-10 20:26:23,2021-08-12 08:31:20
21341045,002,21341046,2021-08-10 20:29:36,2021-08-10 20:31:44,Simple Assault,13B,No,ABUSE FAMILY,MD,Domestic Relationship,HRS 709-0906,Adult Arrested / Charged,Yes - Non Intimate,653,Hotel/Motel/Etc,White,No,No,2021-08-10 20:26:23,2021-08-12 08:31:20
21341042,001,,2021-08-10 20:47:38,2021-08-10 20:47:38,Larceny / Theft of Motor Vehicle Parts or Accessories,23G,No,THEFT 4 - CATALYTIC CONVERTER,PM,None of these Apply,HRS 708-0833,Pending Further Development,No,152,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-10 20:44:10,2021-10-11 11:56:51
21341057,001,,2021-08-10 21:02:56,2021-08-10 21:02:56,Drug/Narcotic Violations,35A,Yes,PRO DANG DRUG 3,FC,None of these Apply,HRS 712-1243,Adult Arrested / Charged,No,151,Hwy/Street/Road/Alley/Sidewalk,Filipino,No,No,2021-08-10 21:02:56,2021-11-03 10:37:06
21340854,001,,2021-08-10 17:36:51,2021-08-10 17:41:50,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Adult Complaint Withdrawn,No,565,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-10 17:33:50,2021-08-25 10:57:07
21339982,001,21339989,2021-08-10 06:00:38,2021-08-10 06:04:45,All Other Offenses,90Z,No,CPD 3,MD,None of these Apply,HRS 708-0822,Pending Further Development,No,362,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-10 05:56:48,2021-08-13 11:46:22
21341056,001,,2021-08-10 20:47:28,2021-08-10 21:09:53,Simple Assault,13B,No,ABUSE FAMILY,MD,Domestic Relationship,HRS 709-0906,Prosecutors / Victim Kokua,Yes - Intimate,371,Residence/Home,Hawaiian,No,No,2021-08-10 20:46:08,2021-09-20 13:26:40
21340663,001,,2021-08-10 15:14:57,2021-08-10 15:21:37,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Open,No,562,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-10 15:10:18,2021-08-10 21:56:43
21340827,001,,2021-08-10 17:26:47,2021-08-10 17:26:47,Simple Assault,13B,No,ABUSE FAMILY,PM,Domestic Relationship,HRS 709-0906,Adult Arrested / Charged,Yes - Non Intimate,456,Residence/Home,White,No,No,2021-08-10 17:26:47,2021-08-18 16:27:23
21341059,001,,2021-08-10 20:59:15,2021-08-10 21:06:17,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Pending Further Development,No,755,Residence/Home,Unknown,Unknown,No,2021-08-10 20:56:55,2021-08-26 10:37:12
21341064,001,21329810,2021-08-10 20:28:58,2021-08-10 20:41:56,Motor Vehicle Theft,240,No,THEFT 2 - AUTO,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,160,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-10 20:22:22,2021-08-26 09:24:53
21340997,001,,2021-08-10 19:27:14,2021-08-10 19:32:44,Rape,11A,Yes,SEX ASSAULT 1,FA,None of these Apply,HRS 707-0730,E.C. / Victim Not Cooperating,No,550,Residence/Home,,Unknown,No,2021-08-10 19:23:26,2021-11-12 15:24:22
21340603,001,,2021-08-10 14:11:03,2021-08-10 14:33:27,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Pending Further Development,No,657,Residence/Home,,Unknown,No,2021-08-10 14:08:28,2021-08-13 07:15:07
21341071,001,,2021-08-10 20:31:16,,Larceny / Theft From Motor Vehicle,23F,No,UEMV 1,FC,None of these Apply,HRS 708-0836.5,Pending Further Development,No,351,Hwy/Street/Road/Alley/Sidewalk,Unknown,Unknown,No,2021-08-10 20:21:47,2021-08-18 14:30:38
21339781,001,,2021-08-09 23:20:05,2021-08-09 23:29:27,Larceny / All Other Larceny,23H,No,THEFT 3,MD,None of these Apply,HRS 708-0832,Pending Further Development,No,363,Residence/Home,Unknown,Unknown,No,2021-08-09 23:18:41,2021-10-15 13:37:13
21172974,003,,2021-04-23 23:34:51,2021-04-23 23:53:00,All Other Offenses,90Z,No,UEMV 2,MD,None of these Apply,HRS 708-0836.6,Adult Arrested / Charged,No,464,Parking/Drop Lot/Garage,White,No,No,2021-04-23 23:29:30,2021-09-10 08:51:33
21172974,004,,2021-04-23 23:34:51,2021-04-23 23:53:00,All Other Offenses,90Z,No,FRAUD USE PLATE,VL,None of these Apply,HRS 249-0011,Adult Arrested / Charged,No,464,Parking/Drop Lot/Garage,Unknown,No,No,2021-04-23 23:29:30,2021-09-10 08:51:33
21327765,001,,2021-08-01 13:29:09,2021-08-01 13:34:02,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Pending Further Development,No,567,Residence/Home,Unknown,Unknown,No,2021-08-01 13:16:47,2021-08-11 10:00:27
21341072,001,,2021-08-10 20:44:00,2021-08-10 20:51:34,Simple Assault,13B,No,ABUSE FAMILY,PM,"Domestic Relationship, LAP Form",HRS 709-0906,Adult Arrested / Charged,Yes - Intimate,650,Hotel/Motel/Etc,Unknown,No,No,2021-08-10 20:41:35,2021-09-03 19:46:41
21341175,001,,2021-08-10 22:55:32,2021-08-10 22:55:32,Motor Vehicle Theft,240,No,THEFT 3 - MOPED,MD,None of these Apply,HRS 708-0832,Pending Further Development,No,751,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-10 22:43:15,2021-09-08 07:49:01
21341179,001,,2021-08-10 23:08:50,2021-08-10 23:14:54,Burglary/Breaking & Entering,220,No,BURGLARY 1,FB,None of these Apply,HRS 708-0810,Pending Further Development,No,569,Residence/Home,Unknown,Unknown,No,2021-08-10 22:59:09,2021-08-13 15:49:39
21328828,001,,2021-08-02 09:27:45,2021-08-02 09:34:44,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Pending Further Development,No,565,Parking/Drop Lot/Garage,Unknown,Unknown,No,2021-08-02 08:56:35,2021-11-02 10:04:21
21341173,001,,2021-08-10 22:59:52,2021-08-10 23:08:21,Aggravated Assault,13A,No,ASSAULT 2,FC,Domestic Relationship,HRS 707-0711,Adult Complaint Declined,Yes - Intimate,854,Residence/Home,Hawaiian,No,No,2021-08-10 22:59:00,2021-08-27 18:00:08
21341185,001,,2021-08-10 23:04:41,2021-08-10 23:04:41,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,172,Hwy/Street/Road/Alley/Sidewalk,Korean,No,No,2021-08-10 23:04:41,2021-08-15 15:50:44
21341141,001,,2021-08-10 22:21:26,2021-08-10 22:25:41,Motor Vehicle Theft,240,No,THEFT 2 - MOPED,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,755,Other/Unknown - Non Residence,Unknown,Unknown,No,2021-08-10 21:56:52,2021-09-24 14:45:06
21341185,002,,2021-08-10 23:04:41,2021-08-10 23:04:41,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,156,Government/Public Bldgs,Korean,No,No,2021-08-10 23:04:41,2021-08-15 15:50:44
21341185,003,,2021-08-10 23:04:41,2021-08-10 23:04:41,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Adult Arrested / Charged,No,156,Government/Public Bldgs,Korean,No,No,2021-08-10 23:04:41,2021-08-15 15:50:44
21341185,004,,2021-08-10 23:04:41,2021-08-10 23:04:41,,,No,DWOL-LICENSING,PM,None of these Apply,HRS 286-0102,Adult Arrested / Charged,No,172,Hwy/Street/Road/Alley/Sidewalk,Korean,No,No,2021-08-10 23:04:41,2021-08-15 15:50:44
21340968,001,,2021-08-10 19:15:54,2021-08-10 19:24:53,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Adult Complaint Withdrawn,No,652,Park/Playground,Unknown,Unknown,No,2021-08-10 19:12:36,2021-08-11 15:32:10
21341206,001,,2021-08-10 22:38:17,2021-08-10 22:44:09,All Other Offenses,90Z,No,CPD 3,MD,None of these Apply,HRS 708-0822,Pending Further Development,No,384,Hwy/Street/Road/Alley/Sidewalk,,Unknown,No,2021-08-10 22:31:11,2021-08-11 12:48:17
21341231,001,,2021-08-11 00:06:57,2021-08-11 00:06:57,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,877,Hwy/Street/Road/Alley/Sidewalk,Filipino,No,No,2021-08-11 00:06:57,2021-08-12 10:31:03
21341236,001,,2021-08-10 23:39:02,2021-08-10 23:45:47,Larceny / All Other Larceny,23H,No,THEFT 2,FC,Domestic Relationship,HRS 708-0831,Adult Complaint Withdrawn,Yes - Intimate,653,Residence/Home,Unknown,Unknown,No,2021-08-10 23:30:28,2021-08-18 08:33:41
21341195,002,,2021-08-10 23:08:20,2021-08-10 23:08:20,,,No,EXCESS SPEED,PM,None of these Apply,HRS 291C-0105,Adult Arrested / Charged,No,255,Hwy/Street/Road/Alley/Sidewalk,Native American,No,No,2021-08-10 23:08:20,2021-09-02 01:24:07
21341195,003,,2021-08-10 23:08:20,2021-08-10 23:08:20,,,No,DRIV-LIC REVOKE-PM,PM,None of these Apply,HRS 291E-0062,Adult Arrested / Charged,No,255,Hwy/Street/Road/Alley/Sidewalk,Native American,No,No,2021-08-10 23:08:20,2021-09-02 01:24:07
21341194,001,,2021-08-10 23:16:31,2021-08-10 23:17:50,Disorderly Conduct,90C,No,DISORD CONDUCT,PM,None of these Apply,HRS 711-1101,Adult Arrested / Charged,No,650,Residence/Home,Hispanic,No,No,2021-08-10 23:12:36,2021-08-12 08:43:11
21341194,002,,2021-08-10 23:16:31,2021-08-10 23:17:50,All Other Offenses,90Z,No,CPD 4,PM,None of these Apply,HRS 708-0823,Adult Complaint Withdrawn,No,650,Parking/Drop Lot/Garage,Hispanic,No,No,2021-08-10 23:12:36,2021-08-12 08:43:11
21341204,001,,2021-08-10 23:35:48,2021-08-10 23:36:54,Robbery,120,No,ROBBERY 2,FB,None of these Apply,HRS 708-0841,Pending Further Development,No,171,Commercial/Office Building,Black,Unknown,No,2021-08-10 23:33:55,2021-09-15 09:17:48
21341204,002,,2021-08-10 23:35:48,2021-08-10 23:36:54,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Pending Further Development,No,171,Commercial/Office Building,Black,Unknown,No,2021-08-10 23:33:55,2021-09-15 09:17:48
21341204,003,,2021-08-10 23:35:48,2021-08-10 23:36:54,Simple Assault,13B,No,ASSAULT 3,MD,None of these Apply,HRS 707-0712,Pending Further Development,No,171,Commercial/Office Building,Black,Unknown,No,2021-08-10 23:33:55,2021-09-15 09:17:48
21341253,001,,2021-08-11 00:53:19,2021-08-11 00:53:19,Simple Assault,13B,Yes,HARASSMENT,PM,None of these Apply,HRS 711-1106,Adult Arrested / Charged,No,152,Park/Playground,Filipino,No,No,2021-08-11 00:53:19,2021-08-19 02:14:13
21341072,002,,2021-08-10 20:44:00,2021-08-10 20:51:34,Simple Assault,13B,No,ABUSE FAMILY,PM,"Domestic Relationship, LAP Form",HRS 709-0906,Adult Arrested / Charged,Yes - Intimate,653,Hotel/Motel/Etc,Unknown,No,No,2021-08-10 20:41:35,2021-09-03 19:46:41
21341072,003,,2021-08-10 20:44:00,2021-08-10 20:51:34,Simple Assault,13B,No,ABUSE FAMILY,PM,"Domestic Relationship, LAP Form",HRS 709-0906,Adult Arrested / Charged,Yes - Intimate,653,Hotel/Motel/Etc,Unknown,No,No,2021-08-10 20:41:35,2021-09-03 19:46:41
21341247,001,,2021-08-11 00:37:29,2021-08-11 00:41:09,Motor Vehicle Theft,240,No,THEFT 2 - MOPED,FC,None of these Apply,HRS 708-0831,Pending Further Development,No,160,Residence/Home,Unknown,Unknown,No,2021-08-11 00:26:00,2021-08-30 06:52:10
21341259,001,,2021-08-11 00:47:04,2021-08-11 00:47:04,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,753,Hwy/Street/Road/Alley/Sidewalk,Black,No,No,2021-08-11 00:47:04,2021-08-26 07:02:42
21341259,002,,2021-08-11 00:47:04,2021-08-11 00:47:04,,,No,EXCESS SPEED,PM,None of these Apply,HRS 291C-0105,Adult Arrested / Charged,No,753,Hwy/Street/Road/Alley/Sidewalk,Black,No,No,2021-08-11 00:47:04,2021-08-26 07:02:42
21341265,001,,2021-08-11 00:48:53,2021-08-11 00:48:53,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,570,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-11 00:48:53,2021-08-12 10:39:58
21341262,001,,2021-08-11 00:36:58,2021-08-11 00:40:40,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,250,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-11 00:32:01,2021-08-23 06:50:58
21341211,001,,2021-08-10 23:44:37,2021-08-10 23:48:23,Simple Assault,13B,No,ABUSE FAMILY,MD,Domestic Relationship,HRS 709-0906,Prosecutors / Victim Kokua,Yes - Intimate,461,Residence/Home,"White,Hispanic,Hawaiian",No,No,2021-08-10 23:40:33,2021-09-16 13:22:08
21341262,003,,2021-08-11 00:36:58,2021-08-11 00:40:40,All Other Offenses,90Z,No,CRIM CONTMP CRT,MD,None of these Apply,HRS 710-1077,Juvi Arrested / Charged,No,468,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-11 00:32:01,2021-08-23 06:50:58
21341262,004,,2021-08-11 00:36:58,2021-08-11 00:40:40,,,No,DRIV SUSP LIC,MD,None of these Apply,HRS 286-0132,Adult Arrested / Charged,No,250,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-11 00:32:01,2021-08-23 06:50:58
21341262,005,,2021-08-11 00:36:58,2021-08-11 00:40:40,,,No,NO INSURANCE,VL,None of these Apply,HRS 431:10C-0104,Prosecutors / Victim Kokua,No,250,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-11 00:32:01,2021-08-23 06:50:58
21341226,001,,,,All Other Offenses,90Z,No,URINATING/DEFECATING WITHIN OUTSIDE WAIKIKI,PM,None of these Apply,RO 40-24A.02,Citation Issued,No,154,Hwy/Street/Road/Alley/Sidewalk,Unknown,No,No,2021-08-11 00:20:10,2021-08-16 16:40:50
21341283,001,,2021-08-11 01:22:25,2021-08-11 01:22:25,Driving Under the Influence,90D,No,OVUII PM,PM,None of these Apply,HRS 291E-0061,Adult Arrested / Charged,No,874,Hwy/Street/Road/Alley/Sidewalk,Vietnamese,No,No,2021-08-11 01:22:25,2021-08-12 10:47:34
21341248,001,,,,Trespass of Real Property,90J,No,PARK RULES PARK CLOSURE,PM,None of these Apply,RO 10-01.02,Citation Issued,No,151,Park/Playground,White,No,No,2021-08-11 00:39:44,2021-08-16 16:41:32
21341265,002,,2021-08-11 00:48:53,2021-08-11 00:48:53,,,No,EXCESS SPEED,PM,None of these Apply,HRS 291C-0105,Adult Not Arrested (To pros.),No,570,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-11 00:48:53,2021-08-12 10:39:58
21341265,003,,2021-08-11 00:48:53,2021-08-11 00:48:53,,,No,EXCESS SPEED,PM,None of these Apply,HRS 291C-0105,Adult Not Arrested (To pros.),No,570,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-11 00:48:53,2021-08-12 10:39:58
21341265,004,,2021-08-11 00:48:53,2021-08-11 00:48:53,,,No,DWOL-LICENSING,PM,None of these Apply,HRS 286-0102,Adult Not Arrested (To pros.),No,570,Hwy/Street/Road/Alley/Sidewalk,White,No,No,2021-08-11 00:48:53,2021-08-12 10:39:58
21341290,001,,2021-08-11 01:21:03,2021-08-11 01:24:06,Simple Assault,13B,No,ABUSE FAMILY,MD,Domestic Relationship,HRS 709-0906,Adult Complaint Declined,Yes - Intimate,650,Residence/Home,Hispanic,No,No,2021-08-11 01:16:03,2021-09-17 09:14:14
21341303,001,21341308,2021-08-11 02:04:01,2021-08-11 02:04:01,All Other Offenses,90Z,No,FRAUD USE PLATE,VL,None of these Apply,HRS 249-0011,Citation Issued,No,362,Hwy/Street/Road/Alley/Sidewalk,Hawaiian,No,No,2021-08-11 02:04:01,2021-08-11 21:15:29
